048204231022|0012222222|1050000|1|1234
048204221082|0024444444|100000|1|1234
048204221081|0013333333|202189|0|1234
033204241053|0036666666|232000|0|1234
059204221018|0054444444|1700480|1|1234
048204221081|0025555555|999999|0|1234
048204231022|0031111111|111111|1|1234
123123123123|0011231231|1232412|1|1234
048112325521|0049123412|1234|1|1234
042152125613|0062705004|1000000|1|1234
123123123123|0045101234|2132|1|1234
041251262632|0062217635|12323|1|1234
041251262632|0070000000|2325529|1|1234
033204241053|0062456789|700000|1|1234
